Airplane.Type,Avg_Injuries_per_Incident,Risk.Score,Weighted_Risk,Damage_Risk,Severity_Risk,Number.of.Engines
177mf llc pitts model 12,2.0,4.0,19.115544178656545,2.0,1.0,1.0
2007 savage air llc epic lt,0.0,0.0,0.0,1.0,1.0,1.0
2021fx3 llc ccx-2000,0.0,0.0,0.0,2.0,1.0,1.0
3xtrim 450 ultra,2.0,4.0,28.673316267984816,3.0,2.0,1.0
781569 inc fx 210,3.0,6.0,43.009974401977225,2.0,1.0,1.0
aardema robert john 1 aardema rag wng sp,0.0,0.0,0.0,2.0,1.0,1.0
abbey victor rv9-a,1.0,2.0,4.778886044664136,2.0,1.0,1.0
ac mfg & dev't co ch 2000,0.0,0.0,0.0,2.0,1.0,1.0
ackert dakota hawk dh23,0.0,0.0,0.0,2.0,1.0,1.0
ackland jeffrey dean sh 3r,0.0,0.0,0.0,2.0,1.0,1.0
acro sport acroduster ii sa750,0.0,0.0,0.0,2.0,1.0,1.0
acro super acro sport i,1.0,1.0,2.389443022332068,2.0,1.0,0.0
adams donald l da1,1.0,3.0,7.168329066996204,2.0,2.0,1.0
adams dragonfly,0.0,0.0,0.0,2.0,1.0,1.0
adams john r jr piel diamant,0.0,0.0,0.0,2.0,1.0,1.0
adkins ridge runner ii,0.5,0.5,0.597360755583017,2.0,1.0,1.0
adolphson cck-1865,0.0,0.0,0.0,2.0,1.0,1.0
adrian george w europa classic,0.0,0.0,0.0,2.0,1.0,1.0
advertising mgmt & consulting velocity super xlrg5,5.0,9.0,107.52493600494307,2.0,2.0,1.0
aermacchi bosbok am 3-c,0.0,0.0,0.0,2.0,1.0,1.0
aero adventure aventura ul,1.0,1.0,2.389443022332068,2.0,1.0,1.0
aero adventure zephyr ii,1.0,3.0,7.168329066996204,2.0,2.0,1.0
aero at sp zoo at-4 lsa,1.0,1.0,2.389443022332068,2.0,1.0,1.0
aero bristell bristell lsa,2.0,4.0,19.115544178656545,2.0,1.0,1.0
aero commander 100,0.8461538461538461,1.3846153846153846,3.421569298250653,2.1538461538461537,1.0769230769230769,1.0
aero commander 100 180,0.0,0.0,0.0,2.0,1.0,1.0
aero commander 100-180,0.3333333333333333,0.6666666666666666,0.5309873382960152,2.0,1.0,1.0
aero commander 112,0.0,0.0,0.0,2.0,1.0,1.0
aero commander 112a,2.0,4.0,19.115544178656545,2.0,1.0,1.0
aero commander 112tc,0.0,0.0,0.0,2.0,1.0,1.0
aero commander 114b,3.0,9.0,64.51496160296584,2.0,2.0,1.0
aero commander 200,2.0,6.0,28.673316267984816,2.0,2.0,0.0
aero commander 200d,1.0,1.6666666666666667,3.9824050372201136,2.0,1.0,1.0
